"Sample_ID","Cells_Before_QC","Cells_After_QC"
"AKI3010018",3711,2199
"AKI3010034",1154,479
"AKI3010123",996,615
"AKI3010125",3288,1111
"AKI3210003",2712,631
"AKI3210034",1559,334
"AKI3210074",4792,1986
"AKI3310005",6630,1870
"AKI3310006",463,178
"AKI3410050",4407,1287
"AKI3410184",2643,1151
"AKI3410187",3422,732
"DKD2710039",4092,1718
"DKD2810051",213,98
"DKD2910006a",3199,976
"DKD2910006b",2347,834
"DKD2910006c",3969,1411
"DKD2910010",4243,592
"DKD2910011",2699,1006
"DKD2910012",6251,2031
"DKD2910013",2924,379
"DKD2910016",4138,732
"DKD3110001",970,130
"DKD3110035",2240,225
"DKD3110040",4682,1962
"DKD3110042",1109,436
"HCKD2910008",1776,1228
"HCKD3110000",5009,1615
"HCKD3110013",2453,487
"LDPRE0181",1135,142
"LDPRE0194",1510,172
"LDPRE027",1820,117
"LDPRE038",1725,119
"LDPRE0551",585,265
"LDPRE0621",756,181
"LDPRE19025",1143,158
"LDPRE1905",721,217
"LDPRE98sc",1415,316
"LDSample1153EO1",854,231
"LDSample1153EO2",854,144
"LDSample1153EO3",1352,238
"LDSample1157EO1",1053,225
"LDSample1157EO2",1188,209
"LDSample1157EO3",750,190
"LDSample1158EO1",520,150
"LDSample1158EO2",971,84
"LDSample1158EO3",975,186
"LDSample1162EO1",983,267
"LDSample1162EO2",1340,207
